Name,QuantityType/0,DimensionalClass,SameUnit/0/_uom,SameUnit/0/_namingSystem,CatalogName,CatalogSymbol/_isExplicit,CatalogSymbol/__text,_id,_annotation,QuantityType/1,BaseUnit/BasicAuthority,QuantityType/2,BaseUnit/Description,Deprecated,QuantityType/3,QuantityType/4,QuantityType/5,QuantityType/6,QuantityType/7,SameUnit/1/_uom,SameUnit/1/_namingSystem,SameUnit/2/_uom,SameUnit/2/_namingSystem,QuantityType/8,QuantityType/9,QuantityType/10,QuantityType/11,QuantityType/12,ConversionToBaseUnit/Factor,ConversionToBaseUnit/_baseUnit,ConversionToBaseUnit/Fraction/Numerator,ConversionToBaseUnit/Fraction/Denominator,ConversionToBaseUnit/Formula/A,ConversionToBaseUnit/Formula/B,ConversionToBaseUnit/Formula/C,ConversionToBaseUnit/Formula/D,SameUnit/3/_uom,SameUnit/3/_namingSystem
degrees Fahrenheit per minute,temperature per time,K/T,degF/min,RP66,POSC,true,degF/min,degFPmin,degF/min,,,,,,,,,,,,,,,,,,,,,K/s,5,540,,,,,,
degrees Fahrenheit per second,temperature per time,K/T,degF/s,RP66,POSC,true,degF/s,degFPs,degF/s,,,,,,,,,,,,,,,,,,,,,K/s,5,9,,,,,,
degrees Rankine,thermodynamic temperature,K,degR,RP66,POSC,true,degR,degR,degR,,,,,,,,,,,,,,,,,,,,,K,5,9,,,,,,
decimetre,length,L,dm,RP66,POSC,true,dm,dm,dm,breadth,,height,,,thickness,radius,radius of curvature,Cartesian coordinates,diameter,,,,,length of path,distance,wavelength,mean free path,,0.1,m,,,,,,,,
decimeter per second,velocity,L/T,dm/s,RP66,POSC,true,dm/s,dmPs,dm/s,,,,,,,,,,,,,,,,,,,,0.1,m/s,,,,,,,,
cubic decimetre,volume,L3,dm3,RP66,POSC,true,dm3,dm3,dm3,,,,,,,,,,,L,RP66,L,POSC,,,,,,0.001,m3,,,,,,,,
cubic decimetres/100 kilometres,volume per length,L2,dm3/km(100),POSC,POSC,true,dm3/100km,dm3P100km,dm3/100km,,,,,,,,,,,,,,,,,,,,0.00000001,m2,,,,,,,,
cubic decimetres/kilogram,specific volume,L3/M,dm3/kg,RP66,POSC,true,dm3/kg,dm3Pkg,dm3/kg,massic volume,,,,,,,,,,,,,,,,,,,0.001,m3/kg,,,,,,,,
cubic decimetres/100 kilometres,volume per length,L2,dm3/100km,POSC,POSC,true,dm3/km(100),dm3Pkm(100),dm3/km(100),,,,,2,,,,,,,,,,,,,,,0.00000001,m2,,,,,,,,
cubic decimetres/kilowatt hour,isothermal compressibility,LT2/M,dm3/kW.h,RP66,POSC,true,dm3/kW.h,dm3PkWTh,dm3/kW.h,,,,,,,,,,,,,,,,,,,,0.0000000002777778,m3/J,,,,,,,,
cubic decimetres/metre,volume per length,L2,dm3/m,RP66,POSC,true,dm3/m,dm3Pm,dm3/m,,,,,,,,,,,,,,,,,,,,0.001,m2,,,,,,,,
cubic decimetres/cubic metre,volume per volume,1,dm3/m3,RP66,POSC,true,dm3/m3,dm3Pm3,dm3/m3,,,,,,,,,,,,,,,,,,,,0.001,Euc,,,,,,,,
cubic decimetres/megajoule,isothermal compressibility,LT2/M,dm3/MJ,RP66,POSC,true,dm3/MJ,dm3PMJ,dm3/MJ,,,,,,,,,,,,,,,,,,,,0.000000001,m3/J,,,,,,,,
cubic decimetres/kilogram mole,molar volume,L3/N,,,POSC,true,dm3/kmol,dm3Pkmol,dm3/kmol,,,,,,,,,,,,,,,,,,,,0.000001,m3/mol,,,,,,,,
cubic decimetres/kilogram mole,molar volume,L3/N,dm3/mol,RP66,POSC,true,dm3/mol(kg),dm3Pmol(kg),dm3/mol(kg),,,,,2.2,,,,,,,,,,,,,,,0.001,m3/mol,,,,,,,,
cubic decimetres/second,volume flow rate,L3/T,dm3/s,RP66,POSC,true,dm3/s,dm3Ps,dm3/s,,,,,,,,,,,,,,,,,,,,0.001,m3/s,,,,,,,,
cubic decimetres/second/second,volume per time per time,L3/T2,dm3/s2,RP66,POSC,true,dm3/s2,dm3Ps2,dm3/s2,,,,,,,,,,,,,,,,,,,,0.001,m3/s2,,,,,,,,
cubic decimetres/ton,specific volume,L3/M,dm3/t,RP66,POSC,true,dm3/t,dm3Pt,dm3/t,massic volume,,,,,,,,,,,,,,,,,,,0.000001,m3/kg,,,,,,,,
decinewton metres,moment of force,L2M/T2,dN.m,RP66,POSC,true,dN.m,dNTm,dN.m,moment of couple,,torque,,,,,,,,,,,,,,,,,0.1,J,,,,,,,,
dynes,force,LM/T2,,,POSC,true,dyne,dyne,dyne,,,,,,,,,,,,,,,,,,,,0.00001,N,,,,,,,,
dyne centimetre squared,force area,L3M/T2,,,POSC,true,dyne.cm2,dyneTcm2,dyne.cm2,,,,,,,,,,,,,,,,,,,,0.000000001,N.m2,,,,,,,,
dyne seconds/square centimetre,dynamic viscosity,M/LT,,,POSC,true,dyne.s/cm2,dyneTsPcm2,dyne.s/cm2,,,,,,,,,,,,,,,,,,,,0.1,Pa.s,,,,,,,,
dynes/centimetre,force per length,M/T2,,,POSC,true,dyne/cm,dynePcm,dyne/cm,,,,,,,,,,,,,,,,,,,,0.001,N/m,,,,,,,,
dynes/square centimetre,force per area,M/LT2,.1 Pa,RP66,POSC,true,dyne/cm2,dynePcm2,dyne/cm2,pressure,,,,,,,,,,,,,,,,,,,0.1,Pa,,,,,,,,
dynes/centimetre fourth/gram cm cubed,parachor,M3/L3T8,(dyne/cm)4/gcm3,RP66,POSC,true,(dyne/cm)4/gcm3,(dynePcm)4Pgcm3,(dyne/cm)4/gcm3,,,,,,,,,,,,,,,,,,,,0.001,N4/kg.m7,,,,,,,,
newton/metre fourth/kilogram metre cubed,parachor,M3/L3T8,(N/m)4/kg.m3,RP66,POSC,true,(N/m)4/kg.m3,(NPm)4PkgTm3,(N/m)4/kg.m3,,,,,,,,,,,,,,,,,,,,1,N4/kg.m7,,,,,,,,
electric horsepower,power,L2M/T3,ehp,RP66,POSC,true,ehp,ehp,ehp,,,,,,,,,,,,,,,,,,,,746,W,,,,,,,,
exajoule,energy,L2M/T2,EJ,RP66,POSC,true,EJ,EJ,EJ,work,,,,,,,,,,,,,,,,,,,1E+018,J,,,,,,,,
exajoules/year,heat flow rate,L2M/T3,EJ/a,RP66,POSC,true,EJ/a,EJPa,EJ/a,,,,,,,,,,,,,,,,,,,,31687540000,W,,,,,,,,
equivalents/ Liter,equivalent per volume,CT/L3N,eq/L,RP66,POSC,true,eq/L,eqPL,eq/L,,,,,,,,,,,,,,,,,,,,1000,eq/m3,,,,,,,,
ergs,energy,L2M/T2,,,POSC,true,erg,erg,erg,work,,,,,,,,,,,,,,,,,,,0.0000001,J,,,,,,,,
ergs/year,heat flow rate,L2M/T3,,,POSC,true,erg/a,ergPa,erg/a,,,,,,,,,,,,,,,,,,,,,W,0.0000001,31558150,,,,,,
ergs/square centimetre,energy per area,M/T2,mN/m,RP66,POSC,true,erg/cm2,ergPcm2,erg/cm2,,,,,,,,,,,,,,,,,,,,0.001,N/m,,,,,,,,
ergs/cubic centimetre,normal stress,M/LT2,,,POSC,true,erg/cm3,ergPcm3,erg/cm3,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,0.1,J/m3,,,,,,,,
ergs/gram,specific energy,L2/T2,,,POSC,true,erg/g,ergPg,erg/g,,,,,,,,,,,,,,,,,,,,0.0001,J/kg,,,,,,,,
