Name,QuantityType/0,DimensionalClass,SameUnit/0/_uom,SameUnit/0/_namingSystem,CatalogName,CatalogSymbol/_isExplicit,CatalogSymbol/__text,_id,_annotation,QuantityType/1,BaseUnit/BasicAuthority,QuantityType/2,BaseUnit/Description,Deprecated,QuantityType/3,QuantityType/4,QuantityType/5,QuantityType/6,QuantityType/7,SameUnit/1/_uom,SameUnit/1/_namingSystem,SameUnit/2/_uom,SameUnit/2/_namingSystem,QuantityType/8,QuantityType/9,QuantityType/10,QuantityType/11,QuantityType/12,ConversionToBaseUnit/Factor,ConversionToBaseUnit/_baseUnit,ConversionToBaseUnit/Fraction/Numerator,ConversionToBaseUnit/Fraction/Denominator,ConversionToBaseUnit/Formula/A,ConversionToBaseUnit/Formula/B,ConversionToBaseUnit/Formula/C,ConversionToBaseUnit/Formula/D,SameUnit/3/_uom,SameUnit/3/_namingSystem
per square mile,per area,1/L2,1/mi2,RP66,POSC,true,1/mi2,1Pmi2,1/mi2,,,,,,,,,,,,,,,,,,,,,1/m2,1,2589988.11,,,,,,
per minute,per time,1/T,1/min,RP66,POSC,true,1/min,1Pmin,1/min,,,,,,,,,,,,,,,,,,,,,1/s,1,60,,,,,,
per millimetre,per length,1/L,1/mm,RP66,POSC,true,1/mm,1Pmm,1/mm,wave number,,,,,,,,,,,,,,,,,,,1000,1/m,,,,,,,,
per nanometre,per length,1/L,1/nm,RP66,POSC,true,1/nm,1Pnm,1/nm,wave number,,,,,,,,,,,,,,,,,,,1000000000,1/m,,,,,,,,
per pico pascal,bulk compressibility,LT2/M,1/pPa,RP66,POSC,true,1/pPa,1PpPa,1/pPa,compressibility,,,,,,,,,,,,,,,,,,,1000000000000,1/Pa,,,,,,,,
per pounds/square inch,bulk compressibility,LT2/M,1/psi,RP66,POSC,true,1/psi,1Ppsi,1/psi,compressibility,,,,,,,,,,,,,,,,,,,,1/Pa,1,6894.757,,,,,,
per micro pounds per square inch,bulk compressibility,LT2/M,1/upsi,RP66,POSC,true,1/upsi,1Pupsi,1/upsi,compressibility,,,,,,,,,,,,,,,,,,,,1/Pa,1,0.006894757,,,,,,
per microvolt,per electric potential,CT3/L2M,1/uV,RP66,POSC,true,1/uV,1PuV,1/uV,,,,,,,,,,,,,,,,,,,,1000000,1/V,,,,,,,,
per week,per time,1/T,,,POSC,true,1/wk,1Pwk,1/wk,,,,,,,,,,,,,,,,,,,,,1/s,1,604800,,,,,,
per yard,per length,1/L,,,POSC,true,1/yd,1Pyd,1/yd,,,,,,,,,,,,,,,,,,,,,1/m,1,0.9144,,,,,,
thousand cubic feet,volume,L3,,,POSC,true,1000ft3,1000ft3,1000ft3,,,,,,,,,,,,,,,,,,,,28.316846592,m3,,,,,,,,
thousand cubic feet per barrel,volume per volume,1,,,POSC,true,1000ft3/bbl,1000ft3Pbbl,1000ft3/bbl,,,,,,,,,,,,,,,,,,,,,Euc,28.316846592,0.1589873,,,,,,
thousand cubic feet per day,volume flow rate,L3/T,,,POSC,true,1000ft3/d,1000ft3Pd,1000ft3/d,,,,,,,,,,,,,,,,,,,,,m3/s,28.31685,86400,,,,,,
thousand cubic feet per day per foot,volume per time per length,L2/T,,,POSC,true,1000ft3/d.ft,1000ft3PdTft,1000ft3/d.ft,,,,,,,,,,,,,,,,,,,,,m2/s,92.90304,86400,,,,,,
thousand cubic feet per day per psi,productivity index,L4T/M,,,POSC,true,1000ft3/psi.d,1000ft3PpsiTd,1000ft3/psi.d,,,,,,,,,,,,,,,,,,,,,m3/Pa.s,28.31685,595707004.8,,,,,,
thousand cubic metres per day,volume flow rate,L3/T,,,POSC,true,1000m3/d,1000m3Pd,1000m3/d,,,,,,,,,,,,,,,,,,,,,m3/s,1000,86400,,,,,,
thousand cubic meter per day per meter,volume per time per length,L2/T,km3/(d.m),RP66,POSC,true,1000m3/d.m,1000m3PdTm,1000m3/d.m,,,,,,,,,,,,,,,,,,,,,m2/s,1000,86400,,,,,,
thousand cubic metres per hour,volume flow rate,L3/T,,,POSC,true,1000m3/h,1000m3Ph,1000m3/h,,,,,,,,,,,,,,,,,,,,,m3/s,1000,3600,,,,,,
thousand cubic meters per hour per meter,volume per time per length,L2/T,km3/(h.m),RP66,POSC,true,1000m3/h.m,1000m3PhTm,1000m3/h.m,,,,,,,,,,,,,,,,,,,,,m2/s,1000,3600,,,,,,
thousand (cubic meter per day)-meter,volume length per time,L4/T,,,POSC,true,1000m4/d,1000m4Pd,1000m4/d,,,,,,,,,,,,,,,,,,,,,m4/s,1000,86400,,,,,,
100000 years,time,T,yr(100k),POSC,POSC,true,100ka,100ka,100ka,,,,,,,,,,,,,,,,,,,,3155815000000,s,,,,,,,,
ten thousand kilograms per cubic metre,density,M/L3,,,POSC,true,10Mg/m3,10MgPm3,10Mg/m3,mass density,,volumic mass,,,,,,,,,,,,,,,,,10000,kg/m3,,,,,,,,
annum,time,T,a,RP66,POSC,true,a,a,a,,,,,,,,,,,,,,,,,,,,31558150,s,,,,,,,,
Ampere hour,electric capacity,CT,A.h,RP66,POSC,true,A.h,ATh,A.h,electric charge,,electric flux,,,,,,,,,,,,,,,,,3600,C,,,,,,,,
ampere per square centimeter,current density,C/L2,A/cm2,RP66,POSC,true,A/cm2,APcm2,A/cm2,,,,,,,,,,,,,,,,,,,,10000,A/m2,,,,,,,,
ampere per square foot,current density,C/L2,A/ft2,RP66,POSC,true,A/ft2,APft2,A/ft2,,,,,,,,,,,,,,,,,,,,,A/m2,1,0.09290304,,,,,,
Ampere/millimetre,linear electric current density,C/L,A/mm,RP66,POSC,true,A/mm,APmm,A/mm,magnetic field strength,,magnetization,,,,,,,,,,,,,,,,,1000,A/m,,,,,,,,
Ampere/square millimetre,current density,C/L2,A/mm2,RP66,POSC,true,A/mm2,APmm2,A/mm2,,,,,,,,,,,,,,,,,,,,1000000,A/m2,,,,,,,,
acre,area,L2,acre,RP66,POSC,true,acre,acre,acre,,,,,,,,,,,,,,,,,,,,4046.873,m2,,,,,,,,
acre foot,volume,L3,acre.ft,RP66,POSC,true,acre.ft,acreTft,acre.ft,,,,,,,,,,,,,,,,,,,,1233.489,m3,,,,,,,,
"acre feet/million stbs, 60 deg F",volume per standard volume,1,,,POSC,true,acre.ft/MMstb,acreTftPMMstb,acre.ft/MMstb,,,,,,,,,,,,,,,,,,,,,m3/scm(15C),1233.489,158987.3,,,,,,
attogram,mass,M,ag,RP66,POSC,true,ag,ag,ag,,,,,,,,,,,,,,,,,,,,1E-021,kg,,,,,,,,
attojoule,energy,L2M/T2,aJ,RP66,POSC,true,aJ,aJ,aJ,work,,,,,,,,,,,,,,,,,,,1E-018,J,,,,,,,,
Angstrom,length,L,,,POSC,true,angstrom,angstrom,angstrom,,,,,,,,,,,,,,,,,,,,0.0000000001,m,,,,,,,,
Technical atmosphere,force per area,M/LT2,,,POSC,true,at,at,at,pressure,,,,,,,,,,,,,,,,,,,98066.5,Pa,,,,,,,,
Atmosphere,force per area,M/LT2,atm,RP66,POSC,true,atm,atm,atm,pressure,,,,,,,,,,,,,,,,,,,101325,Pa,,,,,,,,
Atmospheres per ft,force per volume,M/L2T2,atm/ft,RP66,POSC,true,atm/ft,atmPft,atm/ft,pressure per length,,,,,,,,,,,,,,,,,,,,Pa/m,101325,0.3048,,,,,,
atmosphere per hour,pressure per time,M/LT3,atm/h,RP66,POSC,true,atm/h,atmPh,atm/h,,,,,,,,,,,,,,,,,,,,,Pa/s,101325,3600,,,,,,
Atmospheres per hundred metre,force per volume,M/L2T2,,,POSC,true,atm/hm,atmPhm,atm/hm,pressure per length,,,,,,,,,,,,,,,,,,,,Pa/m,101325,100,,,,,,
Atmospheres/metre,force per volume,M/L2T2,atm/m,RP66,POSC,true,atm/m,atmPm,atm/m,pressure per length,,,,,,,,,,,,,,,,,,,101325,Pa/m,,,,,,,,
barn,area,L2,b,RP66,POSC,true,b,b,b,,,,,,,,,,,,,,,,,,,,1E+028,m2,,,,,,,,
barns/cubic centimetre,area per volume,1/L,b/cm3,RP66,POSC,true,b/cm3,bPcm3,b/cm3,,,,,,,,,,,,,,,,,,,,1E+034,1/m,,,,,,,,
barns/electron,cross section absorption,L2/N,,,POSC,true,b/elec,bPelec,b/elec,,,,,,,,,,,,,,,,,,,,0.00006023,m2/mol,,,,,,,,
bar,force per area,M/LT2,bar,RP66,POSC,true,bar,bar,bar,pressure,,,,,,,,,,,,,,,,,,,100000,Pa,,,,,,,,
bar per hour,pressure per time,M/LT3,bar/h,RP66,POSC,true,bar/h,barPh,bar/h,,,,,,,,,,,,,,,,,,,,,Pa/s,100000,3600,,,,,,
bar per kilometer,force per volume,M/L2T2,bar/km,RP66,POSC,true,bar/km,barPkm,bar/km,pressure per length,,,,,,,,,,,,,,,,,,,100,Pa/m,,,,,,,,
bar per meter,force per volume,M/L2T2,bar/m,RP66,POSC,true,bar/m,barPm,bar/m,pressure per length,,,,,,,,,,,,,,,,,,,100000,Pa/m,,,,,,,,
bar squared,pressure squared,M2/L2T4,bar2,RP66,POSC,true,bar2,bar2,bar2,,,,,,,,,,,,,,,,,,,,10000000000,Pa2,,,,,,,,
bar squared per centipoise,pressure squared per (dynamic viscosity),M/LT3,bar2/cP,RP66,POSC,true,bar2/cP,bar2PcP,bar2/cP,,,,,,,,,,,,,,,,,,,,1.E+13,Pa/s,,,,,,,,
barrel,volume,L3,bbl,RP66,POSC,true,bbl,bbl,bbl,,,,,,,,,,,,,,,,,,,,0.1589873,m3,,,,,,,,
barrel per hundred barrel,volume per volume,1,,,POSC,true,bbl/100bbl,bblP100bbl,bbl/100bbl,,,,,,,,,,,,,,,,,,,,0.01,Euc,,,,,,,,
barrels/acre,volume per area,L,bbl/acre,RP66,POSC,true,bbl/acre,bblPacre,bbl/acre,,,,,,,,,,,,,,,,,,,,,m,0.1589873,4046.879,,,,,,
barrel/acre foot,volume per volume,1,bbl/acre.ft,RP66,POSC,true,bbl/acre.ft,bblPacreTft,bbl/acre.ft,,,,,,,,,,,,,,,,,,,,,Euc,0.1589873,1233.489,,,,,,
barrel/barrel,volume per volume,1,bbl/bbl,RP66,POSC,true,bbl/bbl,bblPbbl,bbl/bbl,,,,,,,,,,,,,,,,,,,,1,Euc,,,,,,,,
barrels/centiPoise day psi,specific productivity index,L5T2/M2,bbl/cP.d.psi,RP66,POSC,true,bbl/cP.d.psi,bblPcPTdTpsi,bbl/cP.d.psi,,,,,,,,,,,,,,,,,,,,,m3/Pa2.s2,0.1589873,595707,,,,,,
barrel/day,volume flow rate,L3/T,bbl/d,RP66,POSC,true,bbl/d,bblPd,bbl/d,,,,,,,,,,,,,,,,,,,,,m3/s,0.1589873,86400,,,,,,
barrels/day acre foot,volume per time per volume,1/T,bbl/d.acre.ft,RP66,POSC,true,bbl/d.acre.ft,bblPdTacreTft,bbl/d.acre.ft,,,,,,,,,,,,,,,,,,,,,1/s,0.1589873,106573450,,,,,,
barrels/day foot,volume per time per length,L2/T,bbl/d.ft,RP66,POSC,true,bbl/d.ft,bblPdTft,bbl/d.ft,,,,,,,,,,,bbl/(d.ft),RP66,,,,,,,,,m2/s,0.1589873,26334.72,,,,,,
barrels/day foot pounds/sq in,unit productivity index,L3T/M,bbl/d.ft.psi,RP66,POSC,true,bbl/d.ft.psi,bblPdTftTpsi,bbl/d.ft.psi,,,,,,,,,,,,,,,,,,,,,m2/Pa.s,0.000000000266888418,0.3048,,,,,,
barrel/day pounds/square inch,productivity index,L4T/M,bbl/d.psi,RP66,POSC,true,bbl/d.psi,bblPdTpsi,bbl/d.psi,,,,,2,,,,,,bbl/psi.d,POSC,,,,,,,,0.000000000266888418,m3/Pa.s,,,,,,,,
barrels/day per day,volume per time per time,L3/T2,bbl/d2,RP66,POSC,true,bbl/d2,bblPd2,bbl/d2,,,,,,,,,,,,,,,,,,,,0.0000000000212978,m3/s2,,,,,,,,
barrel/foot,volume per length,L2,bbl/ft,RP66,POSC,true,bbl/ft,bblPft,bbl/ft,,,,,,,,,,,,,,,,,,,,,m2,0.1589873,0.3048,,,,,,
barrel per cubic foot,volume per volume,1,bbl/ft3,RP66,POSC,true,bbl/ft3,bblPft3,bbl/ft3,,,,,,,,,,,,,,,,,,,,,Euc,0.1589873,0.02831685,,,,,,
barrel/hour,volume flow rate,L3/T,bbl/hr,RP66,POSC,true,bbl/hr,bblPhr,bbl/hr,,,,,,,,,,,,,,,,,,,,,m3/s,0.1589873,3600,,,,,,
barrels/hour/hour,volume per time per time,L3/T2,bbl/hr2,RP66,POSC,true,bbl/hr2,bblPhr2,bbl/hr2,,,,,,,,,,,,,,,,,,,,,m3/s2,0.1589873,12960000,,,,,,
barrel/inch,volume per length,L2,bbl/in,RP66,POSC,true,bbl/in,bblPin,bbl/in,,,,,,,,,,,,,,,,,,,,,m2,0.1589873,0.0254,,,,,,
barrel per thousand cubic feet,volume per volume,1,,,POSC,true,bbl/k(ft3),bblPk(ft3),bbl/k(ft3),,,,,,,,,,,,,,,,,,,,,Euc,0.1589873,28.31685,,,,,,
barrel per day per kilopascal,productivity index,L4T/M,bbl/kPa.d,RP66,POSC,true,bbl/kPa.d,bblPkPaTd,bbl/kPa.d,,,,,,,,,,,bbl/(d.kPa),RP66,,,,,,,,,m3/Pa.s,0.1589873,86400000,,,,,,
barrel per million cubic feet,volume per volume,1,,,POSC,true,bbl/M(ft3),bblPM(ft3),bbl/M(ft3),,,,,,,,,,,,,,,,,,,,,Euc,0.1589873,28316.85,,,,,,
barrel/mile,volume per length,L2,bbl/mi,RP66,POSC,true,bbl/mi,bblPmi,bbl/mi,,,,,,,,,,,,,,,,,,,,,m2,0.1589873,1609.344,,,,,,
barrel per minute,volume flow rate,L3/T,bbl/min,RP66,POSC,true,bbl/min,bblPmin,bbl/min,,,,,,,,,,,,,,,,,,,,,m3/s,0.1589873,60,,,,,,
"barrels/million std cubic feet, 60 degF",volume per standard volume,1,,,POSC,true,bbl/MMscf(60F),bblPMMscf(60F),bbl/MMscf(60F),,,,,,,,,,,,,,,,,,,,,m3/scm(15C),0.1589873,28262.357,,,,,,
barrel per day per psi,productivity index,L4T/M,bbl/psi.d,RP66,POSC,true,bbl/psi.d,bblPpsiTd,bbl/psi.d,,,,,,,,,,,bbl/(d.psi),RP66,bbl/d.psi,WITSML,,,,,,,m3/Pa.s,0.1589873,595707004.8,,,,,,
"barrels/stock tank barrel, 60 deg F",volume per standard volume,1,,,POSC,true,bbl/stb(60F),bblPstb(60F),bbl/stb(60F),,,,,,,,,,,,,,,,,,,,1,m3/scm(15C),,,,,,,,
barrel per U.K. ton,specific volume,L3/M,bbl/tonUK,RP66,POSC,true,bbl/tonUK,bblPtonUK,bbl/tonUK,massic volume,,,,,,,,,,,,,,,,,,,156.4763,m3/kg,,,,,,,,
barrel per U.S. ton,specific volume,L3/M,bbl/tonUS,RP66,POSC,true,bbl/tonUS,bblPtonUS,bbl/tonUS,massic volume,,,,,,,,,,,,,,,,,,,175.2535,m3/kg,,,,,,,,
billion cubic feet,volume,L3,,,POSC,true,bcf,bcf,bcf,,,,,,,,,,,,,,,,,,,,28316850,m3,,,,,,,,
bit,digital storage,1,,,POSC,true,bit,bit,bit,,,,,,,,,,,,,,,,,,,,,byte,1,8,,,,,,
British thermal unit,energy,L2M/T2,Btu,RP66,POSC,true,Btu,Btu,Btu,work,,,,,,,,,,,,,,,,,,,1055.056,J,,,,,,,,
Btus/hour foot squared deg F per inch,energy length per time area temperature,LM/KT3,Btu.in/h.ft2.degF,RP66,POSC,true,Btu.in/hr.ft2.F,BtuTinPhrTft2TF,Btu.in/hr.ft2.F,,,,,,,,,,,,,,,,,,,,0.1442279,W/m.K,,,,,,,,
million Btus/hour,heat flow rate,L2M/T3,,,POSC,true,Btu(million)/hr,Btu(million)Phr,Btu(million)/hr,,,,,2,,,,,,,,,,,,,,,293071.1,W,,,,,,,,
British thermal units/barrel,normal stress,M/LT2,Btu/bbl,RP66,POSC,true,Btu/bbl,BtuPbbl,Btu/bbl,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,,J/m3,1055.056,0.1589873,,,,,,
Btus/brake-horsepower hour,relative power,1,,,POSC,true,Btu/bhp.hr,BtuPbhpThr,Btu/bhp.hr,,,,,,,,,,,,,,,,,,,,0.0003930148,Euc,,,,,,,,
British thermal units/cubic foot,normal stress,M/LT2,Btu/ft3,RP66,POSC,true,Btu/ft3,BtuPft3,Btu/ft3,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,37258.95,J/m3,,,,,,,,
British thermal units/U.K. gallon,normal stress,M/LT2,Btu/galUK,RP66,POSC,true,Btu/galUK,BtuPgalUK,Btu/galUK,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,232080,J/m3,,,,,,,,
British thermal units/U.S. gallon,normal stress,M/LT2,Btu/galUS,RP66,POSC,true,Btu/galUS,BtuPgalUS,Btu/galUS,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,278716.3,J/m3,,,,,,,,
British thermal unit/hour,heat flow rate,L2M/T3,Btu/h,RP66,POSC,true,Btu/hr,BtuPhr,Btu/hr,,,,,,,,,,,,,,,,,,,,0.2930711,W,,,,,,,,
British thermal units/hour foot deg F,thermal conductivity,LM/KT3,Btu/h.ft.degF,RP66,POSC,true,Btu/hr.ft.degF,BtuPhrTftTdegF,Btu/hr.ft.degF,,,,,,,,,,,,,,,,,,,,1.730735,W/m.K,,,,,,,,
Btus/hour per square foot,density of heat flow rate,M/T3,Btu/h.ft2,RP66,POSC,true,Btu/hr.ft2,BtuPhrTft2,Btu/hr.ft2,poynting vector,,radiant energy,,,fluence rate,radiant exitance,irradiance,sound intensity,energy fluence rate,,,,,,,,,,3.154591,W/m2,,,,,,,,
Btus/hour foot squared deg F,heat transfer coefficient,M/KT3,Btu/h.ft2.degF,RP66,POSC,true,Btu/hr.ft2.degF,BtuPhrTft2TdegF,Btu/hr.ft2.degF,,,,,,,,,,,,,,,,,,,,5.678263,W/m2.K,,,,,,,,
Btus/hour foot squared deg R,heat transfer coefficient,M/KT3,Btu/hr.ft2.degR,RP66,POSC,true,Btu/hr.ft2.degR,BtuPhrTft2TdegR,Btu/hr.ft2.degR,,,,,,,,,,,,,,,,,,,,5.678263,W/m2.K,,,,,,,,
British thermal units/hour cubic foot,power per volume,M/LT3,Btu/h.ft3,RP66,POSC,true,Btu/hr.ft3,BtuPhrTft3,Btu/hr.ft3,,,,,,,,,,,,,,,,,,,,10.34971,W/m3,,,,,,,,
Btus/hour foot cubed deg F,volumetric heat transfer coefficient,M/KLT3,Btu/h.ft3.degF,RP66,POSC,true,Btu/hr.ft3.degF,BtuPhrTft3TdegF,Btu/hr.ft3.degF,,,,,,,,,,,,,,,,,,,,18.62947,W/m3.K,,,,,,,,
Btus/hour metre squared deg C,heat transfer coefficient,M/KT3,Btu/h.m2.degC,RP66,POSC,true,Btu/hr.m2.degC,BtuPhrTm2TdegC,Btu/hr.m2.degC,,,,,,,,,,,,,,,,,,,,0.2930711,W/m2.K,,,,,,,,
British thermal units/pound mass,specific energy,L2/T2,Btu/lbm,RP66,POSC,true,Btu/lbm,BtuPlbm,Btu/lbm,,,,,,,,,,,,,,,,,,,,2326,J/kg,,,,,,,,
British thermal units/pound mass deg F,specific heat capacity,L2/KT2,Btu/lbm.degF,RP66,POSC,true,Btu/lbm.degF,BtuPlbmTdegF,Btu/lbm.degF,massic heat capacity,,,,,,,,,,,,,,,,,,,4186.8,J/kg.K,,,,,,,,
British thermal units/pound mass deg R,specific heat capacity,L2/KT2,Btu/lbm.degR,RP66,POSC,true,Btu/lbm.degR,BtuPlbmTdegR,Btu/lbm.degR,massic heat capacity,,,,,,,,,,,,,,,,,,,4186.8,J/kg.K,,,,,,,,
British thermal units/minute,heat flow rate,L2M/T3,Btu/min,RP66,POSC,true,Btu/min,BtuPmin,Btu/min,,,,,,,,,,,,,,,,,,,,17.58427,W,,,,,,,,
British thermal units/pound mass mol,molar thermodynamic energy,L2M/NT2,,,POSC,true,Btu/lbmole,BtuPlbmole,Btu/lbmole,chemical potential,,affinity of a chemical reaction,,,,,,,,,,,,,,,,,2.326,J/mol,,,,,,,,
British thermal units/pound mass mol,molar thermodynamic energy,L2M/NT2,,,POSC,true,Btu/mol(lbm),BtuPmol(lbm),Btu/mol(lbm),chemical potential,,affinity of a chemical reaction,,2.2,,,,,,,,,,,,,,,2326,J/mol,,,,,,,,
Btus/pound mass mol deg F,molar heat capacity,L2M/KNT2,,,POSC,true,Btu/lbmole.F,BtuPlbmoleTF,Btu/lbmole.F,molar entropy,,molar gas constant,,,,,,,,,,,,,,,,,4.1868,J/mol.K,,,,,,,,
Btus/pound mass mol deg F,molar heat capacity,L2M/KNT2,,,POSC,true,Btu/mol(lbm).F,BtuPmol(lbm)TF,Btu/mol(lbm).F,molar entropy,,molar gas constant,,2.2,,,,,,,,,,,,,,,4186.8,J/mol.K,,,,,,,,
British thermal units/second,heat flow rate,L2M/T3,Btu/s,RP66,POSC,true,Btu/s,BtuPs,Btu/s,,,,,,,,,,,,,,,,,,,,1055.056,W,,,,,,,,
British thermal units/second square foot,density of heat flow rate,M/T3,Btu/s.ft2,RP66,POSC,true,Btu/s.ft2,BtuPsTft2,Btu/s.ft2,poynting vector,,radiant energy,,,fluence rate,radiant exitance,irradiance,sound intensity,energy fluence rate,,,,,,,,,,11356.53,W/m2,,,,,,,,
Btus/second per square foot deg F,heat transfer coefficient,M/KT3,Btu/s.ft2.degF,RP66,POSC,true,Btu/s.ft2.degF,BtuPsTft2TdegF,Btu/s.ft2.degF,,,,,,,,,,,,,,,,,,,,20441.75,W/m2.K,,,,,,,,
Btus/second per cubic foot,power per volume,M/LT3,Btu/s.ft3,RP66,POSC,true,Btu/s.ft3,BtuPsTft3,Btu/s.ft3,,,,,,,,,,,,,,,,,,,,37258.95,W/m3,,,,,,,,
Btus/second per cubic foot deg F,volumetric heat transfer coefficient,M/KLT3,Btu/s.ft3.degF,RP66,POSC,true,Btu/s.ft3.degF,BtuPsTft3TdegF,Btu/s.ft3.degF,,,,,,,,,,,,,,,,,,,,67066.11,W/m3.K,,,,,,,,
cycle,plane angle,A,c,RP66,POSC,true,c,c,c,,,,,,,,,,,,,,,,,,,,6.283185307,rad,,,,,,,,
Coulombs/square centimetre,electric polarization,CT/L2,C/cm2,RP66,POSC,true,C/cm2,CPcm2,C/cm2,,,,,,,,,,,,,,,,,,,,,C/m2,1,0.0001,,,,,,
Coulombs/cubic centimeter,charge density,CT/L3,C/cm3,RP66,POSC,true,C/cm3,CPcm3,C/cm3,,,,,,,,,,,,,,,,,,,,,C/m3,1,0.000001,,,,,,
coulomb per gram,exposure (radioactivity),CT/M,C/g,RP66,POSC,true,C/g,CPg,C/g,,,,,,,,,,,,,,,,,,,,1000,C/kg,,,,,,,,
Coulombs/square millimetre,electric polarization,CT/L2,C/mm2,RP66,POSC,true,C/mm2,CPmm2,C/mm2,,,,,,,,,,,,,,,,,,,,,C/m2,1,0.000001,,,,,,
Coulombs/cubic millimetre,charge density,CT/L3,C/mm3,RP66,POSC,true,C/mm3,CPmm3,C/mm3,,,,,,,,,,,,,,,,,,,,,C/m3,1,0.000000001,,,,,,
cycles/second,angular velocity,A/T,c/s,RP66,POSC,true,c/s,cPs,c/s,frequency,,rotational frequency,,,circular frequency,angle per time,rotational velocity,,,rev/s,POSC,,,,,,,,6.283185307,rad/s,,,,,,,,
calorie,energy,L2M/T2,cal,RP66,POSC,true,cal,cal,cal,work,,,,,,,,,,,,,,,,,,,4.184,J,,,,,,,,
calories/cubic centimetre,normal stress,M/LT2,cal/cm3,RP66,POSC,true,cal/cm3,calPcm3,cal/cm3,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,,J/m3,4.184,0.000001,,,,,,
calories/gram,specific energy,L2/T2,cal/g,RP66,POSC,true,cal/g,calPg,cal/g,,,,,,,,,,,,,,,,,,,,4184,J/kg,,,,,,,,
calories/gram degree Kelvin,specific heat capacity,L2/KT2,cal/g.K,RP66,POSC,true,cal/g.K,calPgTK,cal/g.K,massic heat capacity,,,,,,,,,,,,,,,,,,,4184,J/kg.K,,,,,,,,
calories/hour centimetre degree Celsius,thermal conductivity,LM/KT3,cal/h.cm.degC,RP66,POSC,true,cal/h.cm.degC,calPhTcmTdegC,cal/h.cm.degC,,,,,,,,,,,,,,,,,,,,0.1162222,W/m.K,,,,,,,,
calories/hour centimetre squared,density of heat flow rate,M/T3,cal/h.cm2,RP66,POSC,true,cal/h.cm2,calPhTcm2,cal/h.cm2,poynting vector,,radiant energy,,,fluence rate,radiant exitance,irradiance,sound intensity,energy fluence rate,,,,,,,,,,11.62222,W/m2,,,,,,,,
calories/hour square centimetre deg C,heat transfer coefficient,M/KT3,cal/h.cm2.degC,RP66,POSC,true,cal/h.cm2.degC,calPhTcm2TdegC,cal/h.cm2.degC,,,,,,,,,,,,,,,,,,,,11.62222,W/m2.K,,,,,,,,
calories/hour cubic centimetre,power per volume,M/LT3,cal/h.cm3,RP66,POSC,true,cal/h.cm3,calPhTcm3,cal/h.cm3,,,,,,,,,,,,,,,,,,,,1162.222,W/m3,,,,,,,,
calories/kilogram,specific energy,L2/T2,cal/kg,RP66,POSC,true,cal/kg,calPkg,cal/kg,,,,,,,,,,,,,,,,,,,,4.184,J/kg,,,,,,,,
calories/pound mass,specific energy,L2/T2,cal/lbm,RP66,POSC,true,cal/lbm,calPlbm,cal/lbm,,,,,,,,,,,,,,,,,,,,9.224141,J/kg,,,,,,,,
calories/milliliter,normal stress,M/LT2,cal/mL,RP66,POSC,true,cal/mL,calPmL,cal/mL,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,4184000,J/m3,,,,,,,,
calories/cubic millimetre,normal stress,M/LT2,cal/mm3,RP66,POSC,true,cal/mm3,calPmm3,cal/mm3,shear stress,,modulus of elasticity,,,shear modulus,modulus of rigidity,bulk modulus,modulus of compression,electromagnetic energy density,,,,,radiant energy density,,,,,,J/m3,4.184,0.000000001,,,,,,
calories/gram mol degree celsius,molar heat capacity,L2M/KNT2,,,POSC,true,cal/mol.degC,calPmolTdegC,cal/mol.degC,molar entropy,,molar gas constant,,,,,,,,,,,,,,,,,4.184,J/mol.K,,,,,,,,
calories/gram mol degree celsius,molar heat capacity,L2M/KNT2,,,POSC,true,cal/mol(g).degC,calPmol(g)TdegC,cal/mol(g).degC,molar entropy,,molar gas constant,,2.2,,,,,,,,,,,,,,,4184,J/mol.K,,,,,,,,
calories/second centimetre deg C,thermal conductivity,LM/KT3,cal/s.cm.degC,RP66,POSC,true,cal/s.cm.degC,calPsTcmTdegC,cal/s.cm.degC,,,,,,,,,,,,,,,,,,,,418.4,W/m.K,,,,,,,,
calories/second square centimetre deg C,heat transfer coefficient,M/KT3,cal/s.cm2.degC,RP66,POSC,true,cal/s.cm2.degC,calPsTcm2TdegC,cal/s.cm2.degC,,,,,,,,,,,,,,,,,,,,41840,W/m2.K,,,,,,,,
calories/second cubic centimetre,power per volume,M/LT3,cal/s.cm3,RP66,POSC,true,cal/s.cm3,calPsTcm3,cal/s.cm3,,,,,,,,,,,,,,,,,,,,4184000,W/m3,,,,,,,,
centesimal second,plane angle,A,,,POSC,true,ccgr,ccgr,ccgr,,,,,,,,,,,,,,,,,,,,,rad,3.1415926535898,2000000,,,,,,
